,id,text,label
0,31240,"1Corporate Social Responsibility (CSR)Implementation In Lebanon A Causal Recursive SystemAbdulrazzak Charbaji, Ph.DProfessor of Applied Statistics and Research Methodswww.charbaji.com 2Lebanon Area 10,400 sq km about 0.7 times the size of Connecticutland 10,230 sq km water 170 sq km border countries Israel 79 km, Syria 375 km Population 3,727,703 (July 2003 est.) 3http//www.heritage.org/research/features/index/downloads.html 4http//www.chaostan.com/legal.html Lebanon. Mixture of French Civil Law and Ottoman Civil Law. 2.95. America and Switzerland both score 1.9. Russia and Albania are both 3.65, and Cuba, Laos and North Korea are the worst in the world, with 5.0. 5http//www.ciesin.columbia.edu/indicators/ESI/rank.htmlEnvironmental Sustainability Index2002 Rankings",1
1,31241,"6The purpose of this paper is To look closely at the CSR issue and to check if Lebanese firms are involved in corporate social responsibility 7DEFINING CORPORATE SOCIAL RESPONSIBILITY A review of related literature reveals that the definition of CSR remains a problematic issue 8At one extreme Frankental believes that CSR is ambiguous and indefinable term., which can mean any thing to anybody (Frankental, 2001). 9At the other extreme We find a motivational definition that argues that CSR is the fulfillment of a firm's self-actualization needs (Tuzzolino and Armandi , 1981) 10The legitimacy of CSR relates to fundamental and crucial questions as to why do corporations exist? 11",1
2,31242,"13Ethical responsibilities derive their source of authority from religious convictions, moral traditions, and human rights commitments. Business social responsibility was to maximize profits, subject to the constraints of the law. (Carroll, 2001) 14",1
3,31243,"21Companys assets are provided by many groups including shareholders, such as employees, customers, suppliers, and the like, and so the company arises from the property rights and the right of contract of every corporate constituency, not just stockholders 22Corporate Social Responsibility in Lebanon CSR is in its infancy stage in Lebanon There is a scarcity of applied research into CSR in Lebanon 23Lebanons Prime Minister Rafik Hariri wrote an article in which he notes that taking environmental issues seriously means that people are striving for a better quality of life 24",1
4,31244,"25A study prepared by the Mediterranean Environmental Technical Assistance Program (METAP) and the UNDP estimated the cost of environmental deterioration in Lebanon at US 565 million per year, that is around 3.9 of GDP. It is the most among other Arab countries covered by the assessment 26Today, Sukleen , has 384 committed institutions that are enrolled in environmental campaign for resources and energy preservation This initiative is undertaken to provide an outlet to the recycling community 27HSBC is funding teacher training seminars 28IDAL launched a new service on its website, the Investors Matching Service, which aims at facilitating the creation of strategic international local partnership One of the main criteria used in the evaluation include employment effort, environmental soundness and social liability 29(No Transcript) 30The project aims to promote enhanced the active participation of UN volunteers business and local communities. The project is composed of two phases, an action research phase and a partnership promotion and building phase 31Action Research",1
5,31245,"Awareness through written, audio visual, and virtual media (web-site and e-mail list). Identification and formation of partnerships between various stakeholders including UNDP, other lead UN agencies, civil society, local community-based associations and NGOs, businesses, associations, chambers of commerce, universities, etc. Organisation of a national workshop to bring together businesses and development actors together for brainstorming, dialogue and joint action. Publications including reports, brochures, newsletters, case studies, and a guidebook on business-community relations. Formulation of Project Document/Joint Project Proposals with UNV/UNDP/UN Agencies/ New Academy of Business.",1
6,31246,33(No Transcript) 34This year Go Green in Lebanon is supported by UNDP and its projects at the Ministries of Environment and Agriculture along with the private sector 35(No Transcript) 36Schtroumpfa local restaurant chain,1
7,31247,"Is the initiator and co-manager of the Go Green project. Its practices include partnering with educational institutes to raise environmental awareness continuously recycling and using recyclable products and organizing a wide range of activities mainly targeting youth including environmental contests, forums, seminars, etc",1
8,31248,"in August 2000, the company launched a Childhood Protection support programs for children who are rejected, abused, exploited in their work environment, for whom education is not provided or who are at risk of delinquency.",1
9,31249,"The company has supported the Lebanese community in various causes including the environment. Recently the company launched the Cedar Roots project, which included building the first cedar forest in the South of Lebanon (Jezzine).",1
10,31250,"Tetra Pak supports health and education through the development of the Captain Mike school-feeding program that aims at providing better nourishment for children 40To sum up, Even though CSR is becoming a corporate goal in Lebanon",1
11,31251,(Z4) could be called Environmental Management. It includes high positive loadings for My organization issue CSR report that include performance against benchmarks My company adopted CSR environmental impact policy and My company has environmental mission statement,1
12,31252,(Z3) could be called TQM practices. It is a bipolar factor which includes negative high loading for My company regularly track the satisfaction and/or complaints of customers and high positive loadings for My organization is involved in minority and women employment,1
13,31253,It is a bipolar factor which includes high negative loading for My company has code of ethics high negative loading for our company has a system in place to handle employees grievances and high positive loading for My company implement code of ethics.,1
14,31254,"PowerShow.com is a leading presentation/slideshow sharing website. Whether your application is business, how-to, education, medicine, school, church, sales, marketing, online training or just for fun, PowerShow.com is a great resource. And, best of all, most of its cool features are free and easy to use.",1
15,31255,You can use PowerShow.com to find and download example online PowerPoint ppt presentations on just about any topic you can imagine so you can learn how to improve your own slides and,1
16,31256,"presentations for free. Or use it to find and download high-quality how-to PowerPoint ppt presentations with illustrated or animated slides that will teach you how to do something new, also for free. Or use it to upload your own PowerPoint slides so you can share them with your teachers, class, students, bosses, employees, customers, potential investors or the world. Or use it to create really cool photo slideshows - with 2D and 3D transitions, animation, and your choice of music - that you can share with your Facebook friends or Google+ circles. That's all free as well!",1
17,31257,"For a small fee you can get the industry's best online privacy or publicly promote your presentations and slide shows with top rankings. But aside from that it's free. We'll even convert your presentations and slide shows into the universal Flash format with all their original multimedia glory, including animation, 2D and 3D transition effects, embedded music or other audio, or even video embedded in slides. All for free. Most of the presentations and slideshows on PowerShow.com are free to view, many are even free to download. (You can choose whether to allow people to download your original PowerPoint presentations and photo slideshows for a fee or free or not at all.) Check out PowerShow.com today - for FREE. There is truly something for everyone!",1
